"","nama_sklh","kota_sklh","provinsi","lulus.2020","tdk_admisi.2020","tdk_bayar.2020","jml.2020","lulus.2021","tdk_admisi.2021","tdk_bayar.2021","jml.2021"
"1","MAN 1 Kota Cilegon","Kota Cilegon","Banten",30,0,0,0,15,0,0,0
"2","MAN 1 KOTA SERANG","Kota Serang","Banten",28,0,0,0,14,0,0,0
"3","MAN 1 Kota Tangerang","Kota Tangerang","Banten",8,0,1,1,5,0,1,1
"4","MAN 1 KOTA TANGERANG SELATAN","Kota Tangerang Selatan","Banten",2,0,0,0,5,0,0,0
"5","MAN 1 Lebak","Kab. Lebak","Banten",1,0,0,0,3,0,0,0
"6","MAN 1 Pandeglang","Kab. Pandeglang","Banten",2,0,0,0,6,0,0,0
"7","MAN 1 SERANG","Kab. Serang","Banten",3,0,0,0,3,0,0,0
"8","MAN 1 TANGERANG","Kab. Tangerang","Banten",1,1,0,1,0,0,0,0
"9","MAN 2 KOTA CILEGON","Kota Cilegon","Banten",9,1,0,1,9,0,0,0
"10","MAN 2 KOTA SERANG","Kota Serang","Banten",4,0,0,0,3,0,0,0
"11","MAN 2 KOTA TANGERANG","Kota Tangerang","Banten",0,0,0,0,4,0,0,0
"12","MAN 2 Lebak","Kab. Lebak","Banten",8,0,0,0,12,3,0,3
"13","MAN 2 Pandeglang","Kab. Pandeglang","Banten",10,3,0,3,7,0,0,0
"14","MAN 2 TANGERANG","Kab. Tangerang","Banten",9,0,1,1,14,0,0,0
"15","MAN 3 PANDEGLANG","Kab. Pandeglang","Banten",6,0,0,0,0,0,0,0
"16","MAN 3 TANGERANG","Kab. Tangerang","Banten",1,0,0,0,3,0,0,0
"17","MAN 4 Pandeglang","Kab. Pandeglang","Banten",33,1,1,2,17,0,0,0
"18","MAN 4 TANGERANG","Kab. Tangerang","Banten",5,0,0,0,14,0,0,0
"19","MAS AL- ISLAH","Kab. Serang","Banten",0,0,0,0,1,0,1,1
"20","MAS AL-IJTIHAD","Kota Tangerang","Banten",0,0,0,0,2,0,0,0
"21","MAS AL-IJTIHAD","Kota Tangerang Selatan","Banten",1,0,0,0,0,0,0,0
"22","MAS AL-INAYAH JERANG ILIR","Kota Cilegon","Banten",2,0,0,0,10,0,0,0
"23","MAS AL-JAUHAROTUNNAQIYYAH CIBEBER","Kota Cilegon","Banten",0,0,0,0,1,1,0,1
"24","MAS AL-KHAIRIYAH KARANGTENGAH","Kota Cilegon","Banten",1,0,0,0,0,0,0,0
"25","MAS AL-KHAIRIYAH PIPITAN","Kota Serang","Banten",1,0,0,0,0,0,0,0
"26","MAS AL-KHAIRIYAH RANCARANJI","Kab. Serang","Banten",3,0,0,0,8,0,0,0
"27","MAS AL FALAH KARANGTANJUNG","Kab. Pandeglang","Banten",1,0,0,0,0,0,0,0
"28","MAS AL HIDAYAH","Kab. Serang","Banten",0,0,0,0,2,0,0,0
"29","MAS AL ISTIQOMAH","Kab. Tangerang","Banten",1,0,0,0,0,0,0,0
"30","MAS ALIYAH MATHLA`UL ANWAR BAROS","Kab. Lebak","Banten",2,0,0,0,0,0,0,0
"31","MAS ASSA`ADAH DAHU","Kab. Serang","Banten",1,0,0,0,0,0,0,0
"32","MAS AT TAQWA YASTU","Kab. Pandeglang","Banten",0,0,0,0,1,1,0,1
"33","MAS CITRA CENDEKIA","Kota Jakarta Selatan","DKI Jakarta",1,0,0,0,0,0,0,0
"34","MAS DAAR AL-ILMI","Kota Serang","Banten",2,0,0,0,0,0,0,0
"35","MAS DAAR EL-QOLAM","Kab. Tangerang","Banten",0,0,0,0,2,0,0,0
"36","MAS DAARUL FALAH","Kab. Serang","Banten",0,0,0,0,4,1,0,1
"37","MAS DAARUL HIKMAH","Kota Tangerang Selatan","Banten",0,0,0,0,1,0,0,0
"38","MAS DARUL IHSAN","Kota Serang","Banten",0,0,0,0,1,0,0,0
"39","MAS JAMIYYAH ISLAMIYYAH","Kota Tangerang Selatan","Banten",0,0,0,0,1,1,0,1
"40","MAS KHAZANAH KEBAJIKAN","Kota Tangerang Selatan","Banten",0,0,0,0,1,0,0,0
"41","MAS MALNU PUSAT MENES","Kab. Pandeglang","Banten",1,1,0,1,3,0,0,0
"42","MAS MAMBAUSSALAM","Kab. Serang","Banten",1,0,0,0,0,0,0,0
"43","MAS MANBA`USSALAM","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"44","MAS MATHLA`UL ANWAR PUSAT MENES","Kab. Pandeglang","Banten",1,0,0,0,3,0,0,0
"45","MAS MIFTAHUL HUDA","Kab. Tangerang","Banten",1,0,0,0,1,1,0,1
"46","MAS NASYRUL ULUM BANI SHALEH","Kota Cilegon","Banten",2,0,0,0,6,2,1,3
"47","MAS NUR EL FALAH KUBANG","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"48","MAS NURUL FALAH","Kab. Lebak","Banten",1,0,0,0,0,0,0,0
"49","MAS NURUL HUDA BAROS","Kab. Serang","Banten",9,0,0,0,2,0,0,0
"50","MAS NURUL MUHTADIN","Kab. Serang","Banten",0,0,0,0,2,1,0,1
"51","MAS RAUDLATUL ULUM","Kab. Serang","Banten",0,0,0,0,1,0,0,0
"52","MAS SHOLATIYAH","Kab. Serang","Banten",0,0,0,0,3,0,0,0
"53","MAS SYEKH MANSHUR","Kab. Pandeglang","Banten",1,0,0,0,4,0,0,0
"54","MAS ULUMUL QUR`AN","Kota Serang","Banten",0,0,0,0,1,1,0,1
"55","SMA ATTAUFIQIYYAH","Kab. Serang","Banten",1,0,0,0,0,0,0,0
